customer_id,first_name,last_name,email,store_id,active
1,Amanda,Mcpherson,dawnjenkins@example.net,1,1
2,Daniel,Gross,rachelbender@example.com,2,1
3,Michele,Benton,kevin24@example.org,1,1
4,Joseph,Ryan,cmccormick@example.org,2,1
5,Laura,Carroll,tbriggs@example.com,1,1
6,Catherine,Bowen,morgan28@example.org,2,1
7,Wendy,Morgan,megan98@example.net,2,1
8,Kevin,Wolf,batesmark@example.org,2,1
9,Samantha,Mcclure,hannah10@example.com,1,1
10,Joshua,Tate,wallacebridget@example.net,2,1
11,Daniel,Townsend,christopherbarrett@example.net,1,1
12,Jeffrey,Lopez,burnskevin@example.com,2,1
13,Sean,Martinez,priscillaturner@example.org,1,1
14,Kenneth,Hunter,vanessa66@example.org,2,1
15,Jasmine,Martinez,xlopez@example.com,2,1
16,Edward,Pitts,laura70@example.org,1,1
17,Katherine,Johnston,michellegibbs@example.com,1,1
18,Stephanie,Burns,jane89@example.net,2,1
19,Cody,Wagner,vanceryan@example.org,2,1
20,Christine,Santiago,landrynoah@example.org,1,1
21,Miranda,Perez,garyrangel@example.org,1,1
22,Jose,Church,mtorres@example.org,2,1
23,Melanie,Kim,poolerobert@example.com,2,1
24,Adam,Evans,genglish@example.net,1,1
25,Julie,Webb,tvargas@example.net,2,1
26,Kathryn,Huerta,roberto72@example.org,1,1
27,Darlene,Padilla,boydjames@example.org,1,1
28,Robert,Hood,robertgutierrez@example.com,1,1
29,Brian,Mays,tonyawright@example.net,1,1
30,Marcus,Richardson,zkeith@example.net,2,1
31,Jennifer,Farmer,michellerobinson@example.com,1,1
32,Mary,Richards,stephenwalters@example.org,1,1
33,Alyssa,Elliott,fordsavannah@example.org,2,1
34,Roger,Forbes,angelabell@example.org,2,1
35,Laura,Ballard,randy17@example.org,1,1
36,Jennifer,Smith,walkerandrea@example.net,2,1
37,Sara,Stevens,brenda05@example.org,1,1
38,Matthew,Sandoval,travis87@example.com,2,1
39,Adam,Roberts,kcallahan@example.org,1,1
40,Deborah,Sanchez,gharris@example.net,1,1
41,Michelle,Clark,kimberlyfoster@example.net,2,1
42,Kathy,Walker,warelacey@example.net,1,1
43,Jorge,Burgess,rogerperkins@example.org,1,1
44,Gregory,Davis,wrightnicole@example.org,1,1
45,Alexandra,Combs,omoore@example.com,2,1
46,Richard,Chase,velezjoe@example.org,2,1
47,Leroy,Sullivan,batesjustin@example.com,2,1
48,Desiree,Reed,johnsonkara@example.org,1,1
49,Christopher,Greene,adam48@example.net,1,1
50,Teresa,Fowler,ybrown@example.com,1,1
51,Gabriella,Gray,kayla68@example.net,1,1
52,Christina,Hubbard,justinmolina@example.org,1,1
53,Valerie,Ferguson,brandon66@example.org,1,1
54,Charles,Wheeler,ykaiser@example.com,1,1
55,Daniel,Bryant,jessicanicholson@example.com,2,1
56,Brian,Jenkins,allentyler@example.org,2,1
57,Peter,Adams,jenny61@example.net,1,1
58,Ann,Green,tonyaanderson@example.org,1,1
59,Kari,Martinez,maryhobbs@example.org,1,1
60,Jared,Glenn,fross@example.com,1,1
61,Micheal,Atkinson,lauren92@example.com,2,1
62,Jeffrey,Kirby,rhenderson@example.net,2,1
63,Sharon,Barron,dvasquez@example.net,2,1
64,Ian,Ramirez,angelagreen@example.com,2,1
65,Matthew,Patterson,romerodonald@example.net,1,1
66,Johnny,Blackwell,rlewis@example.net,1,1
67,Timothy,Santos,jessica19@example.net,1,1
68,Rhonda,Carter,tacevedo@example.org,2,1
69,David,Gonzalez,justinedwards@example.org,2,1
70,Alicia,Hill,wmoss@example.org,1,1
71,April,Smith,jeremybutler@example.org,1,1
72,David,Mullen,faith03@example.org,1,1
73,John,Stone,ldouglas@example.org,2,1
74,Zachary,Spencer,pamela99@example.com,1,1
75,Leah,Shaw,tyler20@example.org,2,1
76,Alyssa,Rivera,brianmitchell@example.net,1,1
77,Shawn,Good,cookvictor@example.com,2,1
78,Mark,Martinez,emily83@example.org,2,1
79,Jenna,Jones,harrischristopher@example.com,1,1
80,Brian,Shah,pramirez@example.net,2,1
81,Karen,Wood,suttonedward@example.com,2,1
82,Sarah,Liu,tfox@example.org,2,1
83,Christopher,Carr,ztaylor@example.com,1,1
84,Sarah,Jackson,emilyruiz@example.com,1,1
85,Carlos,Molina,ramirezkelly@example.com,1,1
86,Sara,Mccoy,hcole@example.org,1,1
87,Julia,Meyers,micheleespinoza@example.org,2,1
88,Cynthia,Carr,sextonwilliam@example.org,1,1
89,Samuel,Craig,rachel11@example.com,1,1
90,Geoffrey,Robinson,james99@example.org,2,1
91,Lynn,Ortiz,frederick33@example.com,2,1
92,Thomas,Long,larry21@example.net,1,1
93,Terri,Todd,jacob86@example.net,2,1
94,Tyler,Lee,jason18@example.org,1,1
95,Melissa,Burgess,edwardsjames@example.org,1,1
96,Laura,Malone,beverly43@example.com,1,1
97,Gregory,Wiggins,fflores@example.org,2,1
98,Matthew,Hopkins,brandon38@example.net,1,1
99,Bob,Compton,georgebrown@example.net,1,1
100,Andrew,Vaughan,michellecarpenter@example.org,2,1
101,Carlos,Cox,vkennedy@example.org,1,1
102,Joanna,Smith,stevenmoore@example.net,1,1
103,Karen,Choi,sharongraham@example.com,1,1
104,Dana,Odonnell,wgarcia@example.net,1,1
105,David,Freeman,oforbes@example.com,1,1
106,Jerry,Robinson,justin19@example.net,2,1
107,Jesse,Jones,jose55@example.com,2,1
108,Pamela,Stevens,melody84@example.com,1,1
109,Edward,Dixon,brittany90@example.org,2,1
110,Joshua,Leach,monica93@example.net,2,1
111,Teresa,Wilcox,david70@example.net,1,1
112,Adam,Dalton,kennethburton@example.org,2,1
113,Marissa,Zimmerman,johnstonchelsea@example.com,2,1
114,Brittany,Butler,johnsonangela@example.org,2,1
115,Benjamin,Arellano,gmiller@example.org,2,1
116,Kimberly,Foley,murphyjane@example.com,2,1
117,Curtis,Olsen,gina33@example.com,1,1
118,Laura,Arnold,kimberlyhall@example.org,2,1
119,Joseph,Campbell,wwallace@example.com,2,1
120,James,Hamilton,john41@example.net,2,1
121,Jennifer,Coffey,thompsonmichael@example.net,2,1
122,Danielle,Nelson,williamwagner@example.net,2,1
123,Ashlee,Mccann,rmartinez@example.net,1,1
124,Cassie,Peters,cclark@example.org,2,1
125,Jasmine,Matthews,jenniferbruce@example.net,1,1
126,Megan,Stein,zacharymcdonald@example.com,1,1
127,Eric,Ferguson,rodney49@example.net,2,1
128,Pamela,Morales,pwilson@example.com,1,1
129,Austin,Blankenship,kwillis@example.org,2,1
130,Stephanie,Petersen,iedwards@example.com,2,1
131,Sandra,Perkins,frazierteresa@example.org,1,1
132,Benjamin,Weber,daniellecarey@example.org,1,1
133,Jessica,Ross,estradabeverly@example.com,1,1
134,Kevin,Payne,xrichardson@example.org,1,1
135,James,Shaw,stephenknight@example.org,2,1
136,Christopher,Ramirez,mendezkimberly@example.com,2,1
137,Eric,Duncan,gordonkelsey@example.net,1,1
138,Rachel,Gibson,samuelharris@example.net,2,1
139,Adam,Williams,kathrynreeves@example.com,2,1
140,John,Flowers,christyrichards@example.net,1,1
141,Ashley,Jackson,fandrews@example.net,1,1
142,Kyle,Lee,ruizjessica@example.org,1,1
143,Johnny,Mckinney,mathewsbrittney@example.com,1,1
144,Nicole,Martin,rhonda74@example.com,1,1
145,Alison,Anthony,christopherbrown@example.org,2,1
146,Christopher,Clark,luis76@example.net,2,1
147,Samantha,Martin,kevin13@example.net,1,1
148,Eric,Castillo,iancardenas@example.com,1,1
149,Diana,Ferguson,amcgrath@example.com,2,1
150,Wendy,Anderson,george84@example.com,1,1
151,Kathryn,Gardner,kmills@example.org,2,1
152,Debra,Blankenship,nguyenscott@example.com,1,1
153,Jonathan,Parker,qjohnson@example.com,2,1
154,Carlos,Hoover,stephenroberts@example.org,2,1
155,Lisa,Koch,pcruz@example.net,1,1
156,Antonio,Vargas,tyler39@example.net,1,1
157,David,Rogers,paige78@example.org,2,1
158,Randy,Martin,linda17@example.com,1,1
159,Brooke,Hartman,rebekahgonzales@example.net,1,1
160,William,Anderson,bbarton@example.net,1,1
161,Kathryn,Moore,amanda97@example.net,2,1
162,Michele,Payne,samuel12@example.org,1,1
163,Darrell,Martinez,arroyoangela@example.com,2,1
164,Joseph,Mendoza,clayedward@example.org,1,1
165,Stephanie,Mcfarland,elizabethsmith@example.org,1,1
166,Scott,Garcia,baileyalicia@example.net,1,1
167,Andrew,Walker,jordangarcia@example.org,1,1
168,Julie,Lutz,ijohnson@example.com,2,1
169,Kelly,Barnes,bmontgomery@example.org,1,1
170,Matthew,Lam,xwilliams@example.org,2,1
171,Nicole,Whitney,kayla18@example.net,2,1
172,Alexis,Rodriguez,robertharvey@example.net,1,1
173,Steven,Rodriguez,vanessa59@example.org,1,1
174,Jessica,Vasquez,jonesjessica@example.org,2,1
175,Stacy,Robinson,jessicaross@example.org,1,1
176,Christine,Cowan,vincent11@example.com,1,1
177,Jason,Morris,michael73@example.org,1,1
178,Gabriel,Montoya,xrich@example.com,1,1
179,Angela,Perez,kellyhart@example.net,1,1
180,Margaret,Marsh,haleykaitlin@example.com,1,1
181,John,Patrick,sdaniel@example.net,1,1
182,David,Payne,kristina15@example.org,1,1
183,Angela,Lopez,simmonschristopher@example.net,2,1
184,Tamara,Garcia,abigailgarcia@example.net,2,1
185,Charles,Hensley,david14@example.net,1,1
186,Dennis,Perez,brichards@example.net,2,1
187,Erin,Small,robert10@example.net,2,1
188,Alexandra,Mejia,james25@example.com,1,1
189,Matthew,King,stephentapia@example.org,1,1
190,Timothy,Smith,alexander45@example.com,1,1
191,Teresa,Mclaughlin,ibrock@example.org,2,1
192,Michelle,Smith,eric24@example.net,1,1
193,Jessica,Lewis,amysmith@example.com,2,1
194,Amy,Burnett,mayernathan@example.com,1,1
195,Edward,Wood,foxcaitlyn@example.com,2,1
196,Summer,Shields,danny98@example.net,1,1
197,Edwin,Bass,martinkelly@example.net,2,1
198,Debra,Smith,ellismario@example.com,1,1
199,Daniel,Casey,rspencer@example.org,1,1
200,Margaret,Martinez,xrivas@example.org,2,1
201,Kevin,Hernandez,fbooker@example.net,1,1
202,Corey,Andrews,jennifercummings@example.net,2,1
203,Veronica,Cooley,vbanks@example.org,2,1
204,Tristan,Vazquez,ygarza@example.org,1,1
205,Zachary,Flores,graylisa@example.net,1,1
206,William,Obrien,adamsdanielle@example.com,1,1
207,Yolanda,Mejia,brianrobinson@example.org,2,1
208,Kimberly,Young,mccallkristen@example.org,2,1
209,Lisa,Price,cobbrichard@example.org,2,1
210,Sarah,Wilcox,harveybethany@example.org,2,1
211,Joanna,Walls,mjones@example.net,1,1
212,Sabrina,Charles,tamaraschmidt@example.com,2,1
213,Lisa,Delacruz,qroberts@example.org,2,1
214,Richard,Silva,nicoleyork@example.net,1,1
215,Michael,Turner,thomas90@example.com,1,1
216,Gregory,Williams,danielalexander@example.net,1,1
217,Jessica,Lewis,singhbrad@example.net,2,1
218,Daniel,Owens,theresa30@example.net,1,1
219,Edwin,Gordon,marystafford@example.org,1,1
220,Allison,Wilson,ellen46@example.org,2,1
221,Ronald,Nunez,annanewton@example.net,2,1
222,Christopher,Lopez,jamie61@example.com,1,1
